Mapping Coverage,96.80

Input Path,Failed Mapping Count
answers.partyA.ce_end_date.specify_timely_days,1
answers.partyA.ce_end_date.specify_release_date_ii,1
answers.partyA.trust_scheme_addendum.paragraph_specify,2
answers.partyA.notification_time.partyA_location,2
answers.partyA.trust_scheme_addendum.after_exhibit_specify,2
answers.partyA.segregated_securities_account_and_security-taker_rights_event.party_a_segregated_securities_account,1
answers.partyA.daily_interest_compounding.daily_interest_compounding,6
answers.partyA.segregated_securities_account_and_security-taker_rights_event.party_b_segregated_securities_account,1
answers.partyA.automatic_setoff.right,6
answers.partyA.collateral_transfer_agreement_date.collateral_transfer_agreement_date,2
answers.partyA.threshold.partyB_threshold,18
answers.partyA.threshold.partyA_threshold,18
answers.partyA.interest_adjustment.timing,4
answers.partyA.interest_rate.eligible_currencies.a365_currency,8
answers.partyA.segregated_securities_account_and_security-taker_rights_event.security-taker_rights_event_language,1
id,6
answers.partyA.other_csa.other_csa_specify,2
