File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,party(0)[id=party1].partyId(1)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso9362].partyIdScheme,party[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso9362].partyIdScheme,2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(1).identifierType=[BIC, LEI]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(1).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442, http://www.fpml.org/coding-scheme/external/iso9362]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,party(2)[id=party3].partyId(0)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party3].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(2).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442, http://www.fpml.org/coding-scheme/external/iso9362]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(2).partyId(0).identifierType=[BIC, LEI]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Success,trade.otherPartyPayment(1).paymentAmount.currency,trade.otherPartyPayment.paymentAmount.currency,2,WorkflowStep.proposedEvent.instruction(0).before.value.transferHistory(0).transfer.asset.Cash.identifier(0).identifier.value=[USD] WorkflowStep.proposedEvent.instruction(0).before.value.transferHistory(0).transfer.quantity.unit.currency.value=[USD],Element mapped to already populated field
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity[id=referenceEntity].entityId[entityIdScheme=http://www.fpml.org/spec/2003/entity-id-RED-1-0].entityIdScheme,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity[id=referenceEntity].entityId[entityIdScheme=http://www.fpml.org/spec/2003/entity-id-RED-1-0].entityIdScheme,3,WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.generalTerms.referenceInformation.referenceEntity.entityIdentifier(0).identifierType=[REDID] WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.generalTerms.referenceInformation.referenceEntity.entityIdentifier(0).identifier.meta.scheme=[http://www.fpml.org/spec/2003/entity-id-RED-1-0] WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.generalTerms.referenceInformation.referenceEntity.entityId(0).meta.scheme=[http://www.fpml.org/spec/2003/entity-id-RED-1-0],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.tradeHeader.partyTradeIdentifier.allocationTradeId(1).partyReference[href=party3].href,trade.tradeHeader.partyTradeIdentifier.allocationTradeId.partyReference[href=party3].href,0,,Element with value party3 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,party(0)[id=party1].partyId(0)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=party1].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(0).identifierType=[BIC, LEI]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442, http://www.fpml.org/coding-scheme/external/iso9362]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.tradeHeader.partyTradeIdentifier.allocationTradeId(1).tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0].tradeIdScheme,trade.tradeHeader.partyTradeIdentifier.allocationTradeId.tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0].tradeIdScheme,0,,Element with value http://www.swapswire.com/spec/2001/trade-id-1-0 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.tradeHeader.partyTradeIdentifier.allocationTradeId(0).tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0],trade.tradeHeader.partyTradeIdentifier.allocationTradeId.tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0],0,,Element with value 10001 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity[id=referenceEntity].entityId[entityIdScheme=http://www.fpml.org/spec/2003/entity-id-RED-1-0],trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity[id=referenceEntity].entityId[entityIdScheme=http://www.fpml.org/spec/2003/entity-id-RED-1-0],2,WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.generalTerms.referenceInformation.referenceEntity.entityId(0).value=[008HA7] WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.generalTerms.referenceInformation.referenceEntity.entityIdentifier(0).identifier.value=[008HA7],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,sequenceNumber,sequenceNumber,0,,Element with value 1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.maturity,0,,Element with value 2017-02-01 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,correlationId[correlationIdScheme=http://www.party2.com/correlation-id],correlationId[correlationIdScheme=http://www.party2.com/correlation-id],0,,Element with value 234231132 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.bond.couponRate,0,,Element with value 0.077 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,correlationId[correlationIdScheme=http://www.party2.com/correlation-id].correlationIdScheme,correlationId[correlationIdScheme=http://www.party2.com/correlation-id].correlationIdScheme,0,,Element with value http://www.party2.com/correlation-id could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Success,trade.otherPartyPayment(1).paymentType,trade.otherPartyPayment.paymentType,0,,Element mapped to already populated field
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Success,trade.otherPartyPayment(1).receiverPartyReference[href=party1].href,trade.otherPartyPayment.receiverPartyReference[href=party1].href,1,WorkflowStep.proposedEvent.instruction(0).before.value.transferHistory(0).transfer.payerReceiver.receiverPartyReference.externalReference=[party2],Element mapped to already populated field
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedMultiple,party(1)[id=party2].partyId(1)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso9362].partyIdScheme,party[id=party2].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso9362].partyIdScheme,2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(1).partyId(1).identifierType=[BIC, LEI]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(1).partyId(1).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442, http://www.fpml.org/coding-scheme/external/iso9362]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/incomplete-processes/msg-ex19-cds-execution-allocations.xml,Fail_MappedNone,trade.tradeHeader.partyTradeIdentifier.allocationTradeId(1).tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0],trade.tradeHeader.partyTradeIdentifier.allocationTradeId.tradeId[tradeIdScheme=http://www.swapswire.com/spec/2001/trade-id-1-0],0,,Element with value 10002 could not be mapped to a rosettaField
