Mapping Coverage,67.45

Input Path,Failed Mapping Count
onBehalfOf.partyReference.href,8
trade.tradeHeader.partyTradeInformation.category,1
trade.tradeHeader.partyTradeInformation.collateralPortfolio,5
paymentDetails.grossCashflow.cashflowAmount.currency,2
trade.tradeHeader.partyTradeInformation.reportingRegime.exceedsClearingThreshold,5
trade.tradeHeader.tradeSummary.isPrimeBrokerTrade,4
termination.sizeChange.changeInNotionalAmount.currency,2
trade.tradeHeader.partyTradeInformation.compressedTrade,5
trade.creditDefaultSwap.protectionTerms.calculationAmount.id,2
termination.resultingTrade.fxSingleLeg.exchangedCurrency1.paymentAmount.currency,1
termination.resultingTrade.tradeHeader.partyTradeIdentifier.issuer,1
trade.tradeHeader.partyTradeInformation.reportingRegime.reportingPurpose,30
termination.resultingTrade.tradeHeader.tradeDate,1
novation.newTradeIdentifier.partyReference.href,2
trade.tradeHeader.partyTradeInformation.offMarketPrice,5
novation.oldTrade.creditDefaultSwap.protectionTerms.calculationAmount.id,2
correlationId.correlationIdScheme,13
paymentDetails.grossCashflow.cashflowAmount.amount,2
termination.resultingTrade.tradeHeader.partyTradeIdentifier.issuer.issuerIdScheme,1
trade.tradeHeader.partyTradeInformation.isAccountingHedge,5
sequenceNumber,13
trade.tradeHeader.productSummary.finalSettlementDate,4
trade.tradeHeader.partyTradeInformation.relatedBusinessUnit.businessUnitReference.href,10
termination.originalTrade.tradeHeader.partyTradeInformation.relatedParty.role,6
trade.tradeHeader.partyTradeInformation.reportingRegime.entityClassification,6
party.organizationType,15
trade.tradeHeader.partyTradeIdentifier.originatingTradeId.tradeId,3
termination.resultingTrade.fxSingleLeg.exchangedCurrency1.payerPartyReference.href,1
party.country,7
termination.originalTrade.tradeHeader.partyTradeInformation.intentToClear,3
paymentDetails.grossCashflow.cashflowId.cashflowIdScheme,2
termination.resultingTrade.fxSingleLeg.exchangedCurrency2.payerPartyReference.href,1
trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.partyReference.href,36
termination.originalTrade.tradeHeader.partyTradeInformation.executionVenueType,3
trade.tradeHeader.partyTradeInformation.relatedBusinessUnit.role,10
termination.resultingTrade.fxSingleLeg.exchangedCurrency2.paymentAmount.currency,1
termination.executionDateTime,3
trade.tradeHeader.partyTradeInformation.executionVenueType,5
termination.resultingTrade.tradeHeader.partyTradeIdentifier.tradeId,1
trade.tradeHeader.partyTradeIdentifier.resultingTradeId.tradeId.tradeIdScheme,6
trade.tradeHeader.partyTradeInformation.endUserException,5
trade.tradeHeader.partyTradeInformation.timestamps.nonpubliclyReported,4
termination.originalTrade.tradeHeader.partyTradeInformation.confirmationMethod,3
trade.tradeHeader.partyTradeIdentifier.originatingTradeId.issuer.issuerIdScheme,3
quote.currency,5
trade.tradeHeader.partyTradeInformation.collateralPortfolio.portfolioNameScheme,5
novation.remainingParty.href,2
quote.value,5
trade.tradeHeader.partyTradeIdentifier.originatingTradeId.tradeId.tradeIdScheme,3
trade.tradeHeader.partyTradeInformation.timestamps.nonpublicReportUpdated,4
termination.resultingTrade.tradeHeader.partyTradeInformation.largeSizeTrade,1
trade.tradeHeader.partyTradeInformation.partyReference.href,5
trade.tradeHeader.partyTradeInformation.reportingRegime.preEnactmentTrade,4
termination.originalTrade.tradeHeader.partyTradeInformation.largeSizeTrade,3
paymentDetails.paymentReference.href,2
termination.resultingTrade.tradeHeader.partyTradeInformation.relatedPerson.personReference.href,1
correlationId,13
trade.tradeHeader.tradeSummary.isPackageTrade,4
termination.changeInNotionalAmount.amount,3
termination.originalTrade.tradeHeader.partyTradeInformation.executionDateTime,3
trade.tradeHeader.partyTradeInformation.reportingRegime.mandatorilyClearable,20
trade.tradeHeader.partyTradeIdentifier.resultingTradeId.associatedPartyReference.href,6
trade.tradeHeader.partyTradeInformation.relatedPerson.role,10
termination.resultingTrade.fxSingleLeg.exchangeRate.rate,1
termination.resultingTrade.tradeHeader.partyTradeInformation.relatedBusinessUnit.businessUnitReference.href,1
